#Digilent WaveForms Oscilloscope Acquisition,,,,,
#Device Name: Discovery2,,,,,
#Serial Number: SN:210321AFD7CC,,,,,
#Date Time: 2020-09-24 15:58:33.471,,,,,
#Sample rate: 54615Hz,,,,,
#Samples: 8192,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 900 mV Hyst.: Auto HoldOff: 0 s,,,,,
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 10 X,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 10 X,,,,,
#Wavegen Channel 1: Running,,,,,
#Mode: Simple,,,,,
#Type: Pulse,,,,,
#Frequency: 1 Hz,,,,,
#Period: 1 s,,,,,
#Amplitude: 2.5 V,,,,,
#Offset: 0 V,,,,,
#Symmetry: 0.4 %,,,,,
#Phase: 0 °,,,,,
,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,
-0.072292412,-0.004771093,0.001619309,0.001179108,-0.653595699,9.041
-0.072274102,-0.008089353,0.004971471,0.003620001,-0.652924239,9.034
-0.072255792,-0.004771093,0.004971471,0.003620001,-0.652253036,9.027
-0.072237482,-0.004771093,0.004971471,0.003620001,-0.651582089,9.02
-0.072219172,-0.004771093,0.004971471,0.003620001,-0.650911399,9.013
-0.072200862,-0.004771093,0.004971471,0.003620001,-0.650240965,9.006
-0.072182552,-0.008089353,0.004971471,0.003620001,-0.649570787,8.999
-0.072164242,-0.008089353,0.004971471,0.003620001,-0.648900866,8.992
-0.072145932,-0.004771093,0.001619309,0.001179108,-0.648231201,8.985
-0.072127622,-0.004771093,0.001619309,0.001179108,-0.647561792,8.978
-0.072109312,-0.001452832,0.004971471,0.003620001,-0.64689264,8.971
-0.072091002,-0.004771093,0.004971471,0.003620001,-0.646223744,8.964
-0.072072692,-0.004771093,0.004971471,0.003620001,-0.645555104,8.957
-0.072054382,-0.001452832,0.004971471,0.003620001,-0.64488672,8.95
-0.072036072,-0.001452832,0.001619309,0.001179108,-0.644218593,8.943
-0.072017762,-0.001452832,0.004971471,0.003620001,-0.643550723,8.936
-0.071999452,-0.004771093,0.004971471,0.003620001,-0.642883108,8.929
-0.071981142,-0.004771093,0.004971471,0.003620001,-0.642215751,8.922
-0.071962832,-0.004771093,0.004971471,0.003620001,-0.641548649,8.915
-0.071944522,-0.004771093,0.001619309,0.001179108,-0.640881804,8.908
-0.071926212,-0.008089353,0.001619309,0.001179108,-0.640215215,8.901
-0.071907902,-0.004771093,0.001619309,0.001179108,-0.639548882,8.894
-0.071889592,-0.004771093,0.001619309,0.001179108,-0.638882806,8.887
-0.071871282,-0.004771093,0.004971471,0.003620001,-0.638216986,8.88
-0.071852972,-0.004771093,0.001619309,0.001179108,-0.637551422,8.873
-0.071834662,-0.004771093,0.004971471,0.003620001,-0.636886115,8.866
-0.071816352,-0.004771093,0.001619309,0.001179108,-0.636221064,8.859
-0.071798042,-0.004771093,0.004971471,0.003620001,-0.635556269,8.852
-0.071779732,-0.004771093,0.004971471,0.003620001,-0.634891731,8.845
-0.071761422,-0.004771093,0.004971471,0.003620001,-0.634227449,8.838
-0.071743112,-0.008089353,0.004971471,0.003620001,-0.633563424,8.831
-0.071724802,-0.004771093,0.001619309,0.001179108,-0.632899654,8.824
-0.071706492,-0.004771093,0.001619309,0.001179108,-0.632236142,8.817
-0.071688182,-0.004771093,0.001619309,0.001179108,-0.631572885,8.81
-0.071669872,-0.004771093,0.004971471,0.003620001,-0.630909885,8.803
-0.071651562,-0.004771093,0.001619309,0.001179108,-0.630247141,8.796
-0.071633252,-0.004771093,0.001619309,0.001179108,-0.629584653,8.789
-0.071614942,-0.004771093,0.001619309,0.001179108,-0.628922422,8.782
-0.071596632,-0.004771093,0.004971471,0.003620001,-0.628260447,8.775
-0.071578322,-0.004771093,0.004971471,0.003620001,-0.627598729,8.768
-0.071560012,-0.004771093,0.004971471,0.003620001,-0.626937267,8.761
-0.071541702,-0.004771093,0.001619309,0.001179108,-0.626276061,8.754
-0.071523392,-0.008089353,0.004971471,0.003620001,-0.625615111,8.747
-0.071505082,-0.004771093,0.001619309,0.001179108,-0.624954418,8.74
-0.071486772,-0.001452832,0.004971471,0.003620001,-0.624293981,8.733
-0.071468462,-0.001452832,0.004971471,0.003620001,-0.623633801,8.726
-0.071450152,-0.004771093,0.001619309,0.001179108,-0.622973877,8.719
-0.071431842,-0.004771093,0.001619309,0.001179108,-0.622314209,8.712
-0.071413532,-0.004771093,0.004971471,0.003620001,-0.621654798,8.705
-0.071395222,-0.004771093,0.004971471,0.003620001,-0.620995643,8.698
-0.071376912,-0.004771093,0.001619309,0.001179108,-0.620336744,8.691
-0.071358602,-0.004771093,0.004971471,0.003620001,-0.619678101,8.684
-0.071340292,-0.004771093,0.001619309,0.001179108,-0.619019715,8.677
-0.071321982,-0.004771093,0.004971471,0.003620001,-0.618361585,8.67
-0.071303672,-0.004771093,0.004971471,0.003620001,-0.617703712,8.663
